fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8
0.5689356,-0.15694486,0.13441297,-0.73448986,-0.20247763,-0.13972427,-0.6467116,0.23490001,-0.090491176,-0.37980527
0.35210416,-0.9851542,-0.5315341,0.5124594,-0.50983053,0.2413634,0.023992103,0.2496277,-0.9518331,0.29705322
0.6394267,0.4507513,0.0049224575,-0.26074818,0.196495,-0.069111735,-0.85773057,-0.045946095,-0.12163496,0.13226132
0.21985097,-0.7005904,-0.18500137,-0.05795145,0.12453593,0.36256668,0.02838502,0.0064659542,-0.68651116,-0.37305963
0.37329933,0.12031355,-0.50388974,-0.796319,-0.67263114,-0.76524305,-0.10000465,-0.014871597,-0.16836438,-0.89991754
0.27304196,-0.62945026,0.4006543,0.67427975,-0.11035556,-0.4922333,-0.77001077,-0.7351547,-0.3390774,-0.4254203
-0.26272804,0.2096559,0.2055628,0.65625244,-0.52920395,0.36897814,0.029028665,0.9974683,0.2180431,0.030470015
-0.2652806,-0.40470755,-0.015953945,-0.8537603,-0.8382091,-0.9211311,-0.5421637,0.27053377,0.32532677,0.5096688
-0.27083617,-0.7146118,-0.15812278,0.091747805,0.32094264,-0.068842225,0.16281259,-0.30632788,0.9605935,0.6701555
0.49061856,-0.6596596,-0.4899855,0.6076531,-0.28998643,0.1928391,0.03390156,0.40346026,-0.9283931,-0.63328487
0.8264484,-0.570879,-0.78697824,0.28550422,-0.39544335,-0.053129476,-0.877981,-0.25101936,-0.08529177,-0.35667312
-1.1077039,0.36551017,0.008458207,-0.74109423,-0.8075927,0.3488623,0.1714375,-0.8453811,-0.5354443,-0.014649901
0.66932243,-0.12183302,0.77763706,0.10392782,-0.36457276,0.82652634,-0.8964543,-0.15635957,0.039127313,0.24767125
0.09877947,-0.17825031,-0.055866536,-0.42283016,-0.47866002,-0.26644784,0.5691265,-0.035836577,0.027376413,-0.1065618
0.69287026,0.87968516,-0.79996943,0.6641521,-0.113073125,0.3739246,-0.34599352,0.2716777,-0.54084617,-0.076299146
0.8004625,0.49304193,-0.17708234,0.71744615,0.5877389,0.1011714,-0.79339236,-0.13739115,-0.03494879,-0.11381149
-0.11796789,-0.11889227,-0.7002517,-0.48268545,0.56660354,0.5765916,-0.37671888,0.19337367,-0.0930047,0.36801225
0.0432524,0.6355252,0.1898376,0.048356425,0.3603658,-0.058457356,0.26715785,-0.27870822,-0.29812786,-0.04727146
-0.279029,0.45682535,-0.06586814,-0.42230165,-0.49235862,0.11674594,-0.26458848,0.45240116,0.1581678,-0.35739946
0.5296802,-0.095571175,-0.39283678,0.5481484,-0.7662389,0.501478,-0.88034093,0.6319247,-0.85955966,0.8474571
0.8151912,0.9411556,-0.7506034,-0.013152095,-0.120693095,0.127697,-0.49882567,-0.034471944,-0.006934285,0.6258843
-0.19937003,-0.1358962,-0.94491065,-0.24826968,0.2743377,0.11035317,0.65270036,-0.20605251,-0.21908936,-0.5048707
-6.079557,0.10725997,0.095952876,-0.60545963,0.018784434,0.66657174,-0.3989845,0.99511594,-0.10319445,-0.04109485
-0.22065516,0.84969324,-0.08205217,-0.45213264,-0.7180443,-0.24170291,-0.39159316,0.31255817,0.21968739,0.45855483
-0.15315917,0.5969255,0.39931154,0.61463946,0.0808152,-0.36267173,0.7714695,-0.18492833,0.3808589,0.5978794
-0.5443652,-0.34047464,0.34853992,-0.9873919,0.26965195,-0.81303036,-0.35392073,0.9595145,-0.0043696207,-0.5585976
0.12732215,0.6378467,-0.56856,-0.65498805,0.16204047,0.29739922,-0.24714617,0.16933022,-0.8658425,-0.8001807
0.35231102,-0.8302134,-0.39707047,0.05723733,-0.8849377,0.037370034,0.028520053,0.9557242,-0.5880091,-0.37121275
0.84376425,-0.14201279,0.15539855,-0.6335442,-0.4066802,0.60860425,-0.25157827,0.3642447,-0.46360984,0.14988528
