neur0,input0,neur1,input1
0.45887807,0.0,0.49455348,0.0
0.41469705,0.039989334,0.52242756,0.0
0.37467733,0.07991469,0.5463376,0.0
0.33898464,0.119712204,0.566895,0.0
0.30756035,0.15931821,0.5846383,0.0
0.280193,0.19866931,0.6000319,0.0
0.25657913,0.23770262,0.6134707,0.0
0.23636974,0.27635565,0.6252868,0.0
0.21920295,0.31456655,0.6357584,0.0
0.20472522,0.3522742,0.6451171,0.0
0.19260398,0.38941833,0.6535556,0.0
0.18253426,0.42593947,0.6612339,0.0
0.17424129,0.46177918,0.66828483,0.0
0.16748062,0.4968801,0.6748186,0.0
0.16203672,0.5311862,0.68092644,0.0
0.15772079,0.5646424,0.68668413,0.0
0.15436828,0.59719545,0.69215417,0.0
0.15183619,0.628793,0.69738835,0.0
0.15000062,0.65938467,0.70242923,0.0
0.14875437,0.68892145,0.70731175,0.0
0.14800487,0.7173561,0.71206456,0.0
0.14767207,0.7446431,0.71671087,0.0
0.14768693,0.7707389,0.7212694,0.0
0.14798981,0.7956016,0.7257552,0.0
0.14852928,0.8191916,0.7301799,0.0
0.1492608,0.84147096,0.73455274,0.0
0.15014595,0.8624042,0.73888063,0.0
0.15115145,0.88195777,0.7431685,0.0
0.15224847,0.90010047,0.7474199,0.0
0.15341203,0.9168031,0.751637,0.0
0.15462044,0.9320391,0.755821,0.0
0.15585485,0.94578403,0.75997204,0.0
0.15709887,0.95801586,0.76408976,0.0
0.1583382,0.9687151,0.76817316,0.0
0.15956041,0.9778646,0.7722207,0.0
0.16075462,0.98544973,0.77623063,0.0
0.16191135,0.99145836,0.7802009,0.0
0.16302231,0.99588084,0.78412926,0.0
0.16408022,0.99871016,0.7880133,0.0
0.1650788,0.9999417,0.79185057,0.0
0.16601253,0.9995736,0.7956387,0.0
0.16687661,0.9976064,0.79937524,0.0
0.16766688,0.99404323,0.80305773,0.0
0.16837975,0.98888975,0.80668396,0.0
0.16901216,0.9821543,0.8102516,0.0
0.16956149,0.9738476,0.8137587,0.0
0.17002551,0.963983,0.8172031,0.0
0.17040244,0.9525762,0.8205832,0.0
0.17069082,0.93964547,0.8238972,0.0
0.1708895,0.92521155,0.8271436,0.0
0.17099765,0.9092974,0.8303211,0.0
0.17101471,0.8919287,0.8334283,0.0
0.1709404,0.873133,0.83646435,0.0
0.1707747,0.85294056,0.8394283,0.0
0.17051779,0.8313835,0.8423194,0.0
0.17017008,0.80849636,0.8451371,0.0
0.16973224,0.78431594,0.8478809,0.0
0.16920511,0.75888073,0.85055053,0.0
0.16858973,0.7322315,0.85314584,0.0
0.1678873,0.70441085,0.85566676,0.0
0.16709924,0.67546326,0.85811335,0.0
0.16622713,0.645435,0.86048585,0.0
0.16527273,0.6143742,0.8627845,0.0
0.1642379,0.58233064,0.8650098,0.0
0.16312476,0.5493555,0.8671621,0.0
0.16193546,0.51550144,0.8692421,0.0
0.16067238,0.48082274,0.87125033,0.0
