neur0,input0,neur1,input1,neur2,input2
0.45991963,0.0,0.4396994,0.0,0.45837578,0.0
0.44405106,8.054273E-5,0.38865796,0.0,0.45219645,0.0
0.42851406,1.6164985E-4,0.33967277,0.0,0.44627774,0.0
0.4133301,2.4388582E-4,0.29329556,0.0,0.44061017,0.0
0.39851734,3.27814E-4,0.24990241,0.0,0.43518177,0.0
0.38409057,4.13996E-4,0.20971045,0.0,0.42997888,0.0
0.37006158,5.029954E-4,0.17280358,0.0,0.42498693,0.0
0.35643914,5.953677E-4,0.13916163,0.0,0.42019093,0.0
0.3432294,6.916717E-4,0.108688064,0.0,0.41557607,0.0
0.330436,7.9246314E-4,0.08123433,0.0,0.41112784,0.0
0.31806028,8.982882E-4,0.056619547,0.0,0.40683243,0.0
0.30610165,0.0010097012,0.034645636,0.0,0.40267688,0.0
0.29455766,0.001127243,0.015108493,0.0,0.39864895,0.0
0.28342423,0.0012514517,-0.002194282,0.0,0.3947374,0.0
0.27269596,0.0013828696,-0.01745823,0.0,0.39093181,0.0
0.26236624,0.0015220254,-0.03086883,0.0,0.38722268,0.0
0.25242746,0.0016694426,-0.042599745,0.0,0.38360125,0.0
0.24287114,0.0018256456,-0.052812025,0.0,0.38005963,0.0
0.23368815,0.0019911528,-0.061654,0.0,0.3765906,0.0
0.22486877,0.0021664605,-0.06926161,0.0,0.37318763,0.0
0.21640293,0.0023520887,-0.07575899,0.0,0.3698448,0.0
0.20828015,0.0025485158,-0.08125917,0.0,0.36655673,0.0
0.20048976,0.002756247,-0.085864924,0.0,0.3633187,0.0
0.19302101,0.002975753,-0.089669555,0.0,0.36012632,0.0
0.18586306,0.0032075166,-0.092757665,0.0,0.3569757,0.0
0.17900506,0.003451988,-0.09520597,0.0,0.35386336,0.0
0.17243622,0.0037096383,-0.09708398,0.0,0.35078615,0.0
0.16614594,0.003980911,-0.098454624,0.0,0.34774128,0.0
0.16012368,0.0042662504,-0.0993749,0.0,0.3447263,0.0
0.15435913,0.0045660823,-0.09989637,0.0,0.34173897,0.0
0.1488422,0.004880828,-0.100065716,0.0,0.33877733,0.0
0.14356303,0.0052109,-0.099925146,0.0,0.33583966,0.0
0.138512,0.0055566966,-0.0995128,0.0,0.3329244,0.0
0.13367979,0.005918616,-0.098863155,0.0,0.33003026,0.0
0.12905733,0.0062970254,-0.09800732,0.0,0.32715604,0.0
0.124635845,0.0066923024,-0.09697337,0.0,0.3243007,0.0
0.120406836,0.007104805,-0.09578658,0.0,0.32146338,0.0
0.11636212,0.0075348797,-0.09446974,0.0,0.3186434,0.0
0.11249379,0.007982853,-0.09304332,0.0,0.31583998,0.0
0.10879423,0.008449063,-0.0915257,0.0,0.31305265,0.0
0.10525611,0.0089338,-0.089933366,0.0,0.310281,0.0
0.1018724,0.009437379,-0.088281065,0.0,0.30752465,0.0
0.09863631,0.00996008,-0.08658197,0.0,0.30478323,0.0
0.09554135,0.010502172,-0.08484783,0.0,0.3020566,0.0
0.0925813,0.011063936,-0.08308909,0.0,0.2993445,0.0
0.089750186,0.0116455825,-0.08131502,0.0,0.2966469,0.0
0.08704227,0.012247375,-0.07953381,0.0,0.2939636,0.0
0.0844521,0.01286951,-0.077752665,0.0,0.2912947,0.0
0.08197441,0.013512212,-0.07597793,0.0,0.2886401,0.0
0.0796042,0.014175666,-0.07421516,0.0,0.28599986,0.0
0.07733666,0.014860046,-0.07246917,0.0,0.283374,0.0
0.075167224,0.015565527,-0.07074411,0.0,0.2807626,0.0
0.07309151,0.016292239,-0.06904359,0.0,0.2781658,0.0
0.07110532,0.017040337,-0.06737065,0.0,0.27558362,0.0
0.069204666,0.017809927,-0.06572788,0.0,0.2730162,0.0
0.06738574,0.018601133,-0.06411743,0.0,0.2704637,0.0
0.0656449,0.019414032,-0.062541075,0.0,0.2679262,0.0
0.06397867,0.020248694,-0.061000235,0.0,0.26540384,0.0
0.062383734,0.021105189,-0.059496038,0.0,0.2628968,0.0
0.060856935,0.021983558,-0.058029342,0.0,0.2604052,0.0
0.05939525,0.022883832,-0.05660075,0.0,0.25792924,0.0
0.057995815,0.023806036,-0.05521066,0.0,0.25546893,0.0
0.05665588,0.024750162,-0.053859286,0.0,0.25302455,0.0
0.055372834,0.025716186,-0.05254667,0.0,0.25059617,0.0
0.054144185,0.026704086,-0.051272705,0.0,0.24818394,0.0
0.05296756,0.027713824,-0.050037164,0.0,0.24578801,0.0
0.05184069,0.028745323,-0.048839707,0.0,0.24340847,0.0
0.050761417,0.02979852,-0.047679897,0.0,0.24104549,0.0
0.04972769,0.030873304,-0.046557218,0.0,0.23869914,0.0
0.048737537,0.031969585,-0.045471087,0.0,0.23636955,0.0
0.0477891,0.03308723,-0.044420857,0.0,0.23405685,0.0
0.04688059,0.0342261,-0.04340583,0.0,0.23176111,0.0
0.046010315,0.035386052,-0.042425282,0.0,0.22948244,0.0
0.045176655,0.036566895,-0.041478444,0.0,0.22722091,0.0
0.044378065,0.037768453,-0.040564526,0.0,0.22497663,0.0
0.04361308,0.038990527,-0.039682716,0.0,0.22274964,0.0
0.042880293,0.040232908,-0.038832203,0.0,0.22054,0.0
0.042178374,0.041495364,-0.038012143,0.0,0.2183478,0.0
0.04150604,0.042777646,-0.037221715,0.0,0.21617307,0.0
0.040862087,0.044079483,-0.036460076,0.0,0.21401586,0.0
0.040245354,0.045400616,-0.035726395,0.0,0.2118762,0.0
0.039654728,0.04674074,-0.035019845,0.0,0.20975414,0.0
0.039089166,0.04809956,-0.03433961,0.0,0.20764968,0.0
0.038547654,0.04947676,-0.033684883,0.0,0.20556286,0.0
0.038029242,0.050871994,-0.033054862,0.0,0.20349368,0.0
0.037533004,0.052284937,-0.032448772,0.0,0.20144217,0.0
0.037058074,0.0537152,-0.031865843,0.0,0.19940831,0.0
0.03660361,0.05516242,-0.03130532,0.0,0.19739208,0.0
0.036168825,0.056626208,-0.030766472,0.0,0.19539349,0.0
0.035752952,0.05810615,-0.03024858,0.0,0.19341251,0.0
0.035355262,0.059601843,-0.029750947,0.0,0.19144914,0.0
0.03497506,0.06111287,-0.029272888,0.0,0.18950333,0.0
0.034611683,0.06263876,-0.02881374,0.0,0.18757506,0.0
0.034264497,0.06417906,-0.028372861,0.0,0.18566428,0.0
0.03393289,0.06573332,-0.027949622,0.0,0.18377097,0.0
0.033616282,0.06730106,-0.027543418,0.0,0.18189508,0.0
0.033314116,0.068881765,-0.027153661,0.0,0.18003654,0.0
0.033025857,0.07047494,-0.02677978,0.0,0.17819533,0.0
0.032750998,0.07208008,-0.026421221,0.0,0.17637135,0.0
0.032489046,0.073696665,-0.026077451,0.0,0.17456459,0.0
0.03223953,0.07532413,-0.025747955,0.0,0.17277494,0.0
0.032002002,0.076961935,-0.02543223,0.0,0.17100236,0.0
0.031776022,0.07860954,-0.025129795,0.0,0.16924676,0.0
0.031561185,0.08026635,-0.024840182,0.0,0.16750807,0.0
0.031357087,0.081931785,-0.02456294,0.0,0.16578622,0.0
0.031163342,0.08360528,-0.024297634,0.0,0.16408113,0.0
0.030979583,0.085286215,-0.024043843,0.0,0.1623927,0.0
0.030805454,0.08697398,-0.023801161,0.0,0.16072087,0.0
0.030640613,0.08866797,-0.023569198,0.0,0.15906553,0.0
0.030484729,0.09036755,-0.023347575,0.0,0.15742661,0.0
0.030337483,0.09207209,-0.023135925,0.0,0.15580401,0.0
0.030198572,0.093780935,-0.022933898,0.0,0.15419763,0.0
0.030067697,0.09549349,-0.022741154,0.0,0.15260738,0.0
0.029944569,0.097209014,-0.022557363,0.0,0.15103315,0.0
0.029828917,0.098926894,-0.022382213,0.0,0.14947486,0.0
0.029720468,0.10064645,-0.022215392,0.0,0.1479324,0.0
0.029618965,0.102367006,-0.022056611,0.0,0.14640565,0.0
0.029524159,0.10408789,-0.02190558,0.0,0.14489454,0.0
0.029435802,0.10580839,-0.021762028,0.0,0.14339894,0.0
0.029353661,0.10752783,-0.021625686,0.0,0.14191875,0.0
0.029277507,0.1092455,-0.021496298,0.0,0.14045388,0.0
0.029207114,0.110960715,-0.021373617,0.0,0.13900419,0.0
0.02914227,0.11267276,-0.021257402,0.0,0.13756958,0.0
0.02908276,0.11438091,-0.02114742,0.0,0.13614996,0.0
0.029028378,0.11608447,-0.021043448,0.0,0.13474518,0.0
0.02897893,0.11778273,-0.020945266,0.0,0.13335517,0.0
0.028934216,0.11947496,-0.020852668,0.0,0.13197981,0.0
0.028894048,0.12116041,-0.020765446,0.0,0.13061896,0.0
0.028858239,0.12283839,-0.020683406,0.0,0.12927252,0.0
0.028826607,0.124508195,-0.020606354,0.0,0.12794037,0.0
0.028798977,0.12616904,-0.020534104,0.0,0.12662242,0.0
0.028775174,0.12782024,-0.020466477,0.0,0.12531854,0.0
0.028755028,0.12946108,-0.0204033,0.0,0.12402861,0.0
0.028738372,0.1310908,-0.020344399,0.0,0.12275252,0.0
0.028725045,0.13270868,-0.020289611,0.0,0.12149016,0.0
0.028714888,0.13431399,-0.020238776,0.0,0.120241396,0.0
0.02870774,0.13590603,-0.020191737,0.0,0.11900613,0.0
0.028703451,0.13748404,-0.020148342,0.0,0.11778424,0.0
0.02870187,0.13904734,-0.020108445,0.0,0.1165756,0.0
0.028702844,0.14059518,-0.020071898,0.0,0.11538011,0.0
0.028706232,0.14212687,-0.020038566,0.0,0.11419764,0.0
0.028711887,0.14364168,-0.020008305,0.0,0.11302809,0.0
0.028719671,0.14513889,-0.019980988,0.0,0.11187132,0.0
0.028729443,0.14661783,-0.01995648,0.0,0.11072723,0.0
0.028741065,0.14807776,-0.019934658,0.0,0.10959571,0.0
0.028754406,0.149518,-0.019915393,0.0,0.10847663,0.0
0.028769331,0.15093787,-0.019898565,0.0,0.10736989,0.0
0.02878571,0.15233666,-0.019884055,0.0,0.106275365,0.0
0.028803412,0.1537137,-0.019871747,0.0,0.10519293,0.0
0.028822314,0.15506832,-0.019861529,0.0,0.10412249,0.0
0.028842287,0.15639983,-0.019853283,0.0,0.103063926,0.0
0.02886321,0.15770762,-0.019846905,0.0,0.10201711,0.0
0.02888496,0.15899101,-0.019842286,0.0,0.10098194,0.0
0.028907418,0.16024934,-0.019839318,0.0,0.09995831,0.0
0.028930465,0.16148196,-0.019837903,0.0,0.09894609,0.0
0.028953983,0.16268827,-0.019837935,0.0,0.097945176,0.0
0.028977856,0.16386764,-0.019839315,0.0,0.09695545,0.0
0.029001974,0.16501947,-0.019841949,0.0,0.09597681,0.0
0.029026221,0.16614312,-0.019845737,0.0,0.09500913,0.0
0.029050488,0.16723804,-0.019850587,0.0,0.09405232,0.0
0.029074665,0.16830362,-0.019856406,0.0,0.09310626,0.0
0.029098645,0.16933928,-0.0198631,0.0,0.092170835,0.0
0.029122323,0.17034447,-0.019870585,0.0,0.091245934,0.0
0.02914559,0.17131868,-0.019878766,0.0,0.09033146,0.0
0.029168345,0.17226128,-0.01988756,0.0,0.089427285,0.0
0.029190486,0.1731718,-0.01989688,0.0,0.08853332,0.0
0.029211912,0.17404974,-0.019906644,0.0,0.08764945,0.0
0.029232524,0.17489454,-0.019916767,0.0,0.08677556,0.0
0.029252226,0.17570573,-0.01992717,0.0,0.08591156,0.0
0.02927092,0.17648284,-0.01993777,0.0,0.085057326,0.0
0.029288514,0.17722541,-0.019948492,0.0,0.084212765,0.0
0.02930491,0.17793296,-0.019959256,0.0,0.08337776,0.0
0.029320022,0.17860506,-0.019969985,0.0,0.08255223,0.0
0.029333757,0.17924128,-0.019980606,0.0,0.08173605,0.0
0.029346025,0.17984122,-0.019991044,0.0,0.08092912,0.0
0.02935674,0.1804045,-0.020001227,0.0,0.080131344,0.0
0.029365817,0.18093066,-0.020011082,0.0,0.07934262,0.0
0.02937317,0.1814194,-0.020020539,0.0,0.07856283,0.0
0.02937872,0.18187036,-0.020029528,0.0,0.07779191,0.0
0.029382382,0.18228316,-0.02003798,0.0,0.07702971,0.0
0.029384077,0.18265752,-0.020045832,0.0,0.07627617,0.0
0.02938373,0.1829931,-0.020053016,0.0,0.07553118,0.0
0.029381262,0.18328966,-0.020059464,0.0,0.07479462,0.0
0.029376598,0.18354684,-0.020065118,0.0,0.07406642,0.0
0.029369667,0.18376441,-0.02006991,0.0,0.07334647,0.0
0.029360397,0.18394218,-0.02007378,0.0,0.07263468,0.0
0.029348718,0.18407984,-0.02007667,0.0,0.07193095,0.0
0.02933456,0.18417723,-0.020078521,0.0,0.07123519,0.0
0.02931786,0.18423413,-0.020079272,0.0,0.0705473,0.0
0.02929855,0.18425038,-0.020078868,0.0,0.06986718,0.0
0.029276568,0.1842258,-0.02007725,0.0,0.06919474,0.0
0.029251853,0.18416023,-0.02007437,0.0,0.06852989,0.0
0.029224347,0.18405358,-0.02007017,0.0,0.06787255,0.0
0.02919399,0.18390575,-0.020064596,0.0,0.0672226,0.0
0.029160727,0.18371658,-0.020057602,0.0,0.06657997,0.0
0.029124504,0.18348607,-0.020049132,0.0,0.06594456,0.0
0.02908527,0.1832141,-0.020039143,0.0,0.06531629,0.0
0.02904297,0.18290065,-0.020027582,0.0,0.06469507,0.0
0.028997557,0.1825457,-0.020014407,0.0,0.0640808,0.0
0.028948987,0.18214925,-0.01999957,0.0,0.063473396,0.0
0.028897213,0.18171129,-0.019983027,0.0,0.06287278,0.0
0.028842192,0.18123184,-0.019964736,0.0,0.062278863,0.0
0.028783882,0.18071102,-0.019944655,0.0,0.061691552,0.0
0.028722245,0.18014878,-0.019922744,0.0,0.06111077,0.0
0.02865724,0.1795453,-0.019898962,0.0,0.060536426,0.0
0.028588837,0.17890063,-0.019873273,0.0,0.059968438,0.0
0.028517,0.1782149,-0.019845638,0.0,0.059406724,0.0
0.028441697,0.17748821,-0.019816024,0.0,0.058851205,0.0
0.028362898,0.17672077,-0.019784397,0.0,0.05830179,0.0
0.028280575,0.17591271,-0.01975072,0.0,0.057758413,0.0
0.028194703,0.17506424,-0.019714963,0.0,0.057220984,0.0
0.028105257,0.17417553,-0.019677097,0.0,0.05668942,0.0
0.028012218,0.17324683,-0.019637093,0.0,0.056163646,0.0
0.027915562,0.17227836,-0.01959492,0.0,0.05564359,0.0
0.027815273,0.17127039,-0.019550556,0.0,0.05512916,0.0
0.027711336,0.1702232,-0.019503973,0.0,0.054620292,0.0
0.027603734,0.16913705,-0.019455146,0.0,0.05411691,0.0
0.02749246,0.16801225,-0.019404052,0.0,0.05361893,0.0
0.027377497,0.16684914,-0.019350672,0.0,0.05312628,0.0
0.027258843,0.16564803,-0.019294985,0.0,0.05263889,0.0
0.027136488,0.16440932,-0.019236973,0.0,0.052156683,0.0
0.027010432,0.16313334,-0.019176615,0.0,0.051679585,0.0
0.026880668,0.1618205,-0.019113898,0.0,0.051207528,0.0
0.026747199,0.16047119,-0.019048808,0.0,0.05074044,0.0
0.026610028,0.15908581,-0.018981328,0.0,0.050278246,0.0
0.026469156,0.15766485,-0.018911447,0.0,0.049820878,0.0
0.02632459,0.15620871,-0.018839156,0.0,0.04936827,0.0
0.026176339,0.15471785,-0.018764446,0.0,0.048920352,0.0
0.02602441,0.15319279,-0.018687306,0.0,0.048477054,0.0
0.025868816,0.15163398,-0.01860773,0.0,0.04803831,0.0
0.025709571,0.15004195,-0.018525714,0.0,0.047604054,0.0
0.025546689,0.14841722,-0.01844125,0.0,0.047174223,0.0
0.025380189,0.14676033,-0.018354341,0.0,0.046748746,0.0
0.02521009,0.14507182,-0.018264981,0.0,0.046327565,0.0
0.025036411,0.14335224,-0.018173173,0.0,0.045910608,0.0
0.024859177,0.1416022,-0.018078914,0.0,0.04549782,0.0
0.024678413,0.13982223,-0.017982211,0.0,0.04508914,0.0
0.024494147,0.138013,-0.017883064,0.0,0.0446845,0.0
0.024306405,0.1361751,-0.017781481,0.0,0.04428384,0.0
0.024115218,0.13430913,-0.017677465,0.0,0.04388711,0.0
0.02392062,0.13241576,-0.017571028,0.0,0.043494236,0.0
0.023722641,0.1304956,-0.017462175,0.0,0.04310517,0.0
0.02352132,0.12854937,-0.017350918,0.0,0.042719845,0.0
0.023316696,0.12657766,-0.017237267,0.0,0.042338215,0.0
0.023108805,0.12458122,-0.017121239,0.0,0.041960217,0.0
0.022897687,0.122560695,-0.017002841,0.0,0.041585796,0.0
0.022683386,0.120516814,-0.016882095,0.0,0.0412149,0.0
0.022465944,0.11845026,-0.016759016,0.0,0.04084747,0.0
0.02224541,0.11636179,-0.016633617,0.0,0.04048345,0.0
0.022021832,0.114252105,-0.016505923,0.0,0.040122796,0.0
0.021795258,0.1121219,-0.016375951,0.0,0.03976545,0.0
0.021565737,0.109972015,-0.016243724,0.0,0.039411362,0.0
0.02133332,0.10780313,-0.016109264,0.0,0.039060485,0.0
0.021098062,0.10561605,-0.015972592,0.0,0.038712762,0.0
0.020860018,0.10341149,-0.015833735,0.0,0.03836815,0.0
0.020619245,0.101190284,-0.015692718,0.0,0.038026597,0.0
0.0203758,0.09895313,-0.015549572,0.0,0.037688054,0.0
0.02012974,0.09670087,-0.015404322,0.0,0.037352476,0.0
0.01988113,0.09443431,-0.015256997,0.0,0.03701982,0.0
0.019630028,0.0921542,-0.015107629,0.0,0.03669003,0.0
0.0193765,0.08986136,-0.014956247,0.0,0.03636307,0.0
0.019120608,0.08755661,-0.014802886,0.0,0.036038894,0.0
0.018862417,0.08524072,-0.014647578,0.0,0.03571746,0.0
0.018601995,0.082914494,-0.0144903585,0.0,0.03539872,0.0
0.018339409,0.08057883,-0.014331262,0.0,0.03508264,0.0
0.018074729,0.07823447,-0.014170324,0.0,0.034769163,0.0
0.017808024,0.075882256,-0.014007585,0.0,0.034458265,0.0
0.017539365,0.073523015,-0.013843081,0.0,0.0341499,0.0
0.017268825,0.07115757,-0.013676852,0.0,0.033844024,0.0
0.016996475,0.06878673,-0.013508939,0.0,0.033540603,0.0
0.01672239,0.06641134,-0.013339381,0.0,0.033239603,0.0
0.016446646,0.06403223,-0.013168221,0.0,0.032940976,0.0
