fitness,g0,g1
0.31857002,-0.14926557,0.46840677
0.31934926,0.70106786,0.36052755
0.31956765,-0.85139334,-0.32764256
0.31876296,0.11196232,0.4887213
0.31831124,-0.17294812,0.1424548
0.31936935,-0.99771136,-0.60020137
0.31886995,-0.33085024,-0.8001508
0.3201774,0.5341084,0.023923397
0.31937844,0.59289175,0.29564777
0.31842527,0.47122225,-0.93332386
0.31841493,-0.41936925,0.7943878
0.3188295,0.31288663,0.9649373
0.31950325,0.3500514,0.10629256
0.31891167,-0.36290187,-0.7216765
0.29779541,-0.6519735,-0.26195234
0.3186315,-0.025940802,0.12420489
0.3208794,0.92840743,0.1518848
0.3210585,0.86587137,0.11304297
0.31803718,0.5440312,-0.30097625
0.31870833,0.054207087,0.8988492
0.31263453,0.20897183,-0.08646327
0.31856176,-0.12414384,0.37384027
0.31857148,-0.083840914,0.28158784
0.31850198,0.19065726,-0.37683046
0.3188653,0.28201497,0.6584045
0.3211417,-0.9878818,-0.13248463
0.2965822,0.6109677,-0.84764224
0.3178268,0.824018,-0.39924112
0.31881112,0.24425395,0.8287732
0.31895763,-0.5609732,-0.87635666
0.31944776,0.9108443,0.42735603
0.32147926,-0.929222,-0.10244773
0.31836343,0.4924264,-0.7445825
0.3190554,-0.5517201,-0.6680927
0.31912917,0.245404,0.18449305
0.31863853,0.061701845,-0.67798793
0.31933454,0.28773692,0.10228362
0.3185954,-0.039326306,0.14295031
0.31909412,-0.2588919,-0.24426953
0.31871662,0.06933788,0.9084683
0.2976075,-0.21166858,0.06664424
0.31846315,0.13676688,-0.23068261
0.29918215,-0.58025825,-0.67081255
0.3188767,-0.12365495,-0.20976748
0.31862658,0.10748445,-0.92336714
0.31955191,-0.30202898,-0.012214365
0.3185652,-0.23260024,0.9116428
0.31679803,0.9743243,-0.17334938
0.32093436,0.91262347,0.13102825
0.31704837,0.5015035,-0.017914904
0.3193681,0.7848533,0.40754956
0.31892732,0.33722842,0.4848173
0.31865245,0.027853556,-0.3506655
0.31860805,-0.09291073,0.49799836
0.319825,-0.42241606,-0.05733461
0.29904148,0.17335105,0.2524441
0.31862178,-0.06351948,0.3941363
0.31922457,-0.2424405,-0.13795942
0.32001197,-0.8441807,-0.2549042
0.3186893,-0.017132815,-0.9547168
0.29850322,-0.1349208,0.22166872
0.31892344,0.52914494,0.99127954
0.3202184,0.6911892,0.16439867
0.31971642,0.36190405,0.008940891
0.31792483,0.47015902,-0.23210692
0.31887615,-0.323531,-0.7638901
0.31857377,0.13812299,-0.5444421
0.3181326,-0.44647402,0.29369795
0.3194239,-0.45465824,-0.20862167
0.3193415,0.7522859,0.38260195
0.319417,0.7370772,0.34366122
0.31866893,-0.020477429,0.8244245
0.3183265,-0.46999136,0.55497354
0.2992502,0.6484748,0.820444
0.31897387,-0.42862162,-0.693471
0.29896748,-0.0050696647,-0.24370249
0.3193238,-0.3979934,-0.22032881
0.3178012,0.43498275,-0.16536367
0.3188959,0.31215364,0.6744522
0.31939352,0.94104904,0.5222837
0.31927451,-0.86890393,-0.583462
0.3191927,-0.17447817,-0.019636974
0.31799823,0.8134989,-0.5445091
0.3184533,0.34987345,-0.76276803
0.31998646,-0.71855235,-0.19046786
0.31886423,-0.36757597,-0.9773534
0.3189582,-0.5811285,-0.98140633
0.31803814,0.701033,-0.44205752
0.31825987,-0.24962492,0.08618066
0.3210111,-0.83470964,-0.055582386
0.31880707,-0.21827,-0.77633536
0.31960043,0.5638029,0.24052563
0.31805897,-0.51348644,0.29665175
0.3178541,0.69933623,-0.30810207
0.31843665,-0.40340704,0.7347473
0.31537634,-0.94562286,0.014896373
0.32112324,-0.81398,-0.10054915
0.31906983,0.3309031,0.29551542
0.31964824,0.33700874,0.0021049976
0.319049,-0.23647891,-0.25322497
