neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4,neur5,input5,neur6,input6,neur7,input7,neur8,input8,neur9,input9
-0.6142659,-0.07741843,-0.81548744,0.0,-0.6448229,0.0,-0.57634306,0.0,0.91902226,0.0,0.867215,0.0,0.9902037,0.0,0.4640591,0.0,0.35454476,0.0,-0.77304715,0.0
-0.5478867,-0.067096025,-0.84093213,0.0,-0.6273872,0.0,-0.6530445,0.0,0.91647416,0.0,0.85360205,0.0,0.99467164,0.0,0.48863474,0.0,0.4227003,0.0,-0.7919805,0.0
-0.4960614,-0.056187153,-0.86205614,0.0,-0.60596573,0.0,-0.71600753,0.0,0.91148,0.0,0.8359381,0.0,0.99713236,0.0,0.5089668,0.0,0.48182717,0.0,-0.80740327,0.0
-0.45055288,-0.044766955,-0.87971133,0.0,-0.58113015,0.0,-0.7671233,0.0,0.90394205,0.0,0.8138155,0.0,0.99846226,0.0,0.5254437,0.0,0.5335577,0.0,-0.8200146,0.0
-0.4093044,-0.032914326,-0.89452994,0.0,-0.5533151,0.0,-0.8084029,0.0,0.89360523,0.0,0.7867476,0.0,0.9991729,0.0,0.5383835,0.0,0.57933164,0.0,-0.83033043,0.0
-0.37071472,-0.020711396,-0.90699714,0.0,-0.52286327,0.0,-0.8416879,0.0,0.88007,0.0,0.7542018,0.0,0.9995511,0.0,0.54803675,0.0,0.620353,0.0,-0.8387288,0.0
-0.33362412,-0.00824292,-0.91749704,0.0,-0.49006096,0.0,-0.8685478,0.0,0.86280674,0.0,0.7156411,0.0,0.9997527,0.0,0.5545985,0.0,0.65759516,0.0,-0.84548485,0.0
-0.2971281,0.0044042887,-0.9263379,0.0,-0.4551537,0.0,-0.890274,0.0,0.8411795,0.0,0.6705716,0.0,0.9998609,0.0,0.55822587,0.0,0.6918226,0.0,-0.8507972,0.0
-0.26056054,0.017142065,-0.9337706,0.0,-0.4183596,0.0,-0.9079075,0.0,0.8144908,0.0,0.6185979,0.0,0.9999196,0.0,0.55905664,0.0,0.72361475,0.0,-0.85480666,0.0
-0.22345719,0.02988129,-0.9400007,0.0,-0.3798814,0.0,-0.92227757,0.0,0.7820578,0.0,0.55947995,0.0,0.999952,0.0,0.5572269,0.0,0.7533873,0.0,-0.85761064,0.0
-0.18554729,0.042532794,-0.94519794,0.0,-0.33991957,0.0,-0.93404055,0.0,0.7433274,0.0,0.4931927,0.0,0.99997026,0.0,0.55288345,0.0,0.78140974,0.0,-0.8592735,0.0
-0.14674091,0.05500778,-0.9495026,0.0,-0.29868641,0.0,-0.9437137,0.0,0.6980211,0.0,0.4199867,0.0,0.9999807,0.0,0.5461892,0.0,0.80782324,0.0,-0.8598341,0.0
-0.107105404,0.067218505,-0.95303065,0.0,-0.2564189,0.0,-0.9517049,0.0,0.6462835,0.0,0.34044427,0.0,0.9999868,0.0,0.5373197,0.0,0.8326584,0.0,-0.8593116,0.0
-0.06683718,0.079078935,-0.9558772,0.0,-0.2133875,0.0,-0.95833594,0.0,0.58878005,0.0,0.2555201,0.0,0.9999905,0.0,0.5264543,0.0,0.85585874,0.0,-0.8577095,0.0
-0.026215045,0.09050531,-0.95811915,0.0,-0.16989839,0.0,-0.9638618,0.0,0.5266933,0.0,0.16654305,0.0,0.9999928,0.0,0.51376677,0.0,0.87730956,0.0,-0.85501856,0.0
0.014444479,0.10141671,-0.95981675,0.0,-0.12628815,0.0,-0.96848595,0.0,0.46158946,0.0,0.075153686,0.0,0.99999416,0.0,0.49942312,0.0,0.8968733,0.0,-0.85121846,0.0
0.054835528,0.111735605,-0.96101505,0.0,-0.08291083,0.0,-0.97237134,0.0,0.3951875,0.0,-0.01682934,0.0,0.999995,0.0,0.48358893,0.0,0.9144272,0.0,-0.84627974,0.0
0.09469533,0.12138861,-0.9617442,0.0,-0.04012094,0.0,-0.9756496,0.0,0.3291065,0.0,-0.10759135,0.0,0.99999547,0.0,0.4664444,0.0,0.9298957,0.0,-0.84016514,0.0
0.13382386,0.13030656,-0.9620203,0.0,0.0017448833,0.0,-0.9784275,0.0,0.26467285,0.0,-0.19550297,0.0,0.99999565,0.0,0.44820017,0.0,0.9432723,0.0,-0.8328318,0.0
